Date,SUSA,IJH,MBB,IAI,IGSB,IYK,IYR,IWL,IFRA,ITB,IYG,LCTU,DVY,ITA,IWP,IYE,IWY,QUAL,IWM,USMV,PABU,IHI,IYW,IDU,VLUE,IVW,USRT,LQD,AGG,OEF,IBB,IUSB,IWS,IJR,IWN,SHY,IWB,DYNF,IGM,IUSG,IBIT,IWO,ILCG,IUSV,IYF,ITOT,IYH,IYC,EWC,TLT,ESML,IJS,IAU,SOXX,IEF,IGV,IJT,USXF,PHYMF,EUSA,HDV,IYJ,LRGF,IWF,SGOV,IJK,SMLF,SLV,MTUM,USHY,IMCG,ICF,IYY,IWX,IVV,IJJ,SHV,DSI,MUB,IWV,IVE,IWD,ESGU,IWR,GOVT,HYG,DGRO,cash
2019-06-11,0.0,0.0,0.0,0.0,0.3306359892341091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03190024695569708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490203020695512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05294582043945108,0.0,0.0,0.0,0.0,0.0,0.24102643981907268,0.0,0.2913518991590824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031193023499525713
2019-06-12,0.0,0.0,0.0,0.0,0.3999999999999759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944236326609139,0.0,0.0,0.0,0.019769601181147203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036798434035177366,0.0,0.0,0.0,0.0,0.04180694725649992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016630455057343053,0.0,0.0,0.0,0.0,0.0,0.06425033032532672,0.0,0.34869590716280907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002605961715629354
2019-06-13,0.0,0.0,0.0,0.0,0.38767012568578413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03457082541547358,0.0,0.0,0.0,0.020376700323437368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024886882499798497,0.0,0.0,0.0,0.0,0.1374096322939853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04786947584483739,0.0,0.0,0.0,0.0,0.0,0.03746864959810765,0.0,0.3075207364257133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022269719314824887
2019-06-14,0.0,0.0,0.0,0.0,0.39999999998685465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032853071017721766,0.0,0.0,0.0,0.024532177855829482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04601615703560372,0.0,0.0,0.0,0.0,0.08787195883050217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417451486239362,0.0,0.0,0.0,0.0,0.0,0.06111306534755962,0.0,0.29703237756760703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00883604373636787
2019-06-17,0.0,0.0,0.0,0.0,0.39999999999999847,0.0,0.0,0.0,0.0,0.029188279567034896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037056041854288464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08392199465612742,0.0,0.0,0.0,0.0,0.07237001516611916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06956373104541205,0.013698076030581737,0.0,0.0,0.0,0.0,0.0,0.0,0.2942018616247143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.572347377386642e-11
2019-06-18,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04454599960590318,0.0,0.0,0.0,0.012250660610139541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08256865271022086,0.0,0.0,0.0,0.0,0.027919674691553386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05105907371298969,0.0,0.0,0.0,0.0,0.0,0.12441710615186333,0.0,0.2534988645789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037399679384299677
2019-06-19,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05899873400638279,0.0,0.0,0.0,0.018851780064377145,0.0,0.0,0.0,0.04857315864955348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0495535939354355,0.0,0.0,0.0,0.0,0.06386665899340688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04301071018308425,0.0,0.0,0.0,0.0,0.0,0.056220941178506095,0.0,0.2609244229953988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.612269794145734e-12
2019-06-20,0.0,0.0,0.0,0.0,0.30620696478937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0697391601206067,0.0,0.0,0.0,0.016200892799963503,0.0,0.0,0.0,0.13108685532426187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039670952595380136,0.0,0.0,0.0,0.0,0.049741403706195925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030892902048403142,0.0,0.0,0.0,0.0,0.0,0.1511613676793735,0.0,0.2026302539690303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026692469707211026
2019-06-21,0.0,0.0,0.0,0.0,0.2719169044660587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06567986875578513,0.0,0.0,0.0,0.029288676733788672,0.0,0.0,0.0,0.15878057235055476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02104402616110201,0.0,0.0,0.0,0.0,0.06329944864570011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02437248410248145,0.0,0.0,0.0,0.0,0.0,0.1483471118334299,0.0,0.217270906952417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.336505923987348e-12
2019-06-24,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11553812229737909,0.0,0.0,0.0,0.018368873615548693,0.0,0.0,0.0,0.1138235734366784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171204532052716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10002472959521432,0.0,0.1312920608185205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038321870349798943
