Date,Volume
1951-07-02,1350000.0
1951-07-03,1250000.0
1951-07-05,1410000.0
1951-07-06,1170000.0
1951-07-09,1110000.0
1951-07-10,990000.0
1951-07-11,970000.0
1951-07-12,1050000.0
1951-07-13,1320000.0
1951-07-16,1200000.0
1951-07-17,1280000.0
1951-07-18,1370000.0
1951-07-19,1120000.0
1951-07-20,1390000.0
1951-07-23,1320000.0
1951-07-24,1740000.0
1951-07-25,1870000.0
1951-07-26,1480000.0
1951-07-27,1450000.0
1951-07-30,1600000.0
1951-07-31,1550000.0
1951-08-01,1680000.0
1951-08-02,2130000.0
1951-08-03,1570000.0
1951-08-06,1600000.0
1951-08-07,1810000.0
1951-08-08,1410000.0
1951-08-09,1500000.0
1951-08-10,1260000.0
1951-08-13,1320000.0
1951-08-14,1180000.0
1951-08-15,1340000.0
1951-08-16,1750000.0
1951-08-17,1620000.0
1951-08-20,1130000.0
1951-08-21,1400000.0
1951-08-22,1130000.0
1951-08-23,1230000.0
1951-08-24,1210000.0
1951-08-27,1080000.0
1951-08-28,1280000.0
1951-08-29,1520000.0
1951-08-30,1950000.0
1951-08-31,1530000.0
1951-09-04,1520000.0
1951-09-05,1850000.0
1951-09-06,2150000.0
1951-09-07,1970000.0
1951-09-10,2190000.0
1951-09-11,2040000.0
1951-09-12,2180000.0
1951-09-13,2350000.0
1951-09-14,2170000.0
1951-09-17,1800000.0
1951-09-18,2030000.0
1951-09-19,2070000.0
1951-09-20,2100000.0
1951-09-21,2180000.0
1951-09-24,1630000.0
1951-09-25,1740000.0
1951-09-26,1520000.0
1951-09-27,1540000.0
1951-09-28,1390000.0
1951-10-01,1330000.0
1951-10-02,1870000.0
1951-10-03,2780000.0
1951-10-04,1810000.0
1951-10-05,2080000.0
1951-10-08,1860000.0
1951-10-09,1750000.0
1951-10-10,1320000.0
1951-10-11,1760000.0
1951-10-15,1720000.0
1951-10-16,1730000.0
1951-10-17,1460000.0
1951-10-18,1450000.0
1951-10-19,1990000.0
1951-10-22,2690000.0
1951-10-23,2110000.0
1951-10-24,1670000.0
1951-10-25,1360000.0
